Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
102,0.9928,0,79.0352,-0,1.67063e-07,0,0,0,0,0,0,0.433912,0.0559146,0,0.4375,31.6141,-0.263879,0.0040057,-0.000191988,0,0.0040103,1.00307,0,0,0,0,0.978895
103,0.993083,0,79.0632,-0,1.67072e-07,0,0,0,0,0,0,0.472843,0.0538478,0,0.4759,31.6253,-0.24154,0.00392967,-0.000226955,0,0.00393621,1.00313,0,0,0,0,0.96972
104,0.993364,0,79.0914,-0,1.67082e-07,0,0,0,0,0,0,0.512117,0.0513979,0,0.514689,31.6366,-0.218935,0.00385857,-0.0002566,0,0.00386709,1.00321,0,0,0,0,0.961205
105,0.993634,0,79.1191,-0,1.67092e-07,0,0,0,0,0,0,0.551292,0.0486309,0,0.553432,31.6476,-0.196812,0.00379268,-0.000281679,0,0.00380313,1.00329,0,0,0,0,0.953383
106,0.993894,0,79.1461,-0,1.67102e-07,0,0,0,0,0,0,0.589933,0.0456186,0,0.591694,31.6585,-0.17516,0.00373168,-0.000302902,0,0.00374395,1.00337,0,0,0,0,0.946222
107,0.994144,0,79.1725,-0,1.67113e-07,0,0,0,0,0,0,0.627628,0.0424346,0,0.629061,31.669,-0.154072,0.00367499,-0.000320909,0,0.00368898,1.00345,0,0,0,0,0.939664
108,0.994388,0,79.1984,-0,1.67124e-07,0,0,0,0,0,0,0.664007,0.0391503,0,0.66516,31.6794,-0.133325,0.00362156,-0.000336217,0,0.00363713,1.00353,0,0,0,0,0.933589
109,0.994625,0,79.2238,-0,1.67134e-07,0,0,0,0,0,0,0.69875,0.0358319,0,0.699668,31.6895,-0.113023,0.00357034,-0.000349249,0,0.00358738,1.00361,0,0,0,0,0.927879
110,0.994855,0,79.2486,-0,1.67145e-07,0,0,0,0,0,0,0.731603,0.0325381,0,0.732326,31.6994,-0.0932188,0.00352063,-0.000360353,0,0.00353902,1.0037,0,0,0,0,0.922462
111,0.995081,0,79.2729,-0,1.67155e-07,0,0,0,0,0,0,0.762378,0.0293192,0,0.762941,31.7091,-0.0737773,0.00347123,-0.000369735,0,0.00349087,1.00378,0,0,0,0,0.9172
112,0.995305,0,79.2969,-0,1.67165e-07,0,0,0,0,0,0,0.790952,0.0262166,0,0.791386,31.7187,-0.0545789,0.00342081,-0.000377485,0,0.00344157,1.00385,0,0,0,0,0.911935
