"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         264,      -5.820919461,      -3.690109536,      -4.768039295,      -1.969145826
          0,           0,         265,       -5.82382806,      -3.693688334,        -4.7724293,      -1.981706443
          0,           0,         266,      -5.826811634,      -3.697540543,      -4.776312502,      -1.979631635
          0,           0,         267,      -5.830902087,      -3.702138868,      -4.781761338,      -1.991920064
          0,           0,         268,      -5.834296503,      -3.706315812,      -4.786204265,      -1.990796385
          0,           0,         269,       -5.83680216,      -3.709548949,      -4.790164409,         -2.002303
          0,           0,         270,      -5.841369379,      -3.714741026,      -4.795662709,      -2.001011886
          0,           0,         271,      -5.844296403,      -3.718323968,      -4.800126303,      -2.013538055
          0,           0,         272,      -5.847266097,       -3.72212426,       -4.80411623,      -2.011406585
          0,           0,         273,      -5.851380214,      -3.726749261,      -4.809761907,      -2.023706755
          0,           0,         274,      -5.854760765,      -3.730890059,      -4.814258907,      -2.022580681
          0,           0,         275,       -5.85728724,       -3.73413431,      -4.818350171,      -2.033997944
          0,           0,         276,      -5.861847654,      -3.739312834,      -4.824024013,      -2.032700725
          0,           0,         277,      -5.864798538,      -3.742920931,      -4.828702329,      -2.045140361
          0,           0,         278,      -5.867757395,      -3.746692747,       -4.83277888,      -2.042967877
          0,           0,         279,      -5.871890217,      -3.751360376,      -4.838609088,      -2.055118947
          0,           0,         280,      -5.875265232,      -3.755486673,       -4.84329301,       -2.05390471
          0,           0,         281,      -5.878295939,      -3.759186499,      -4.847996481,      -2.065459295
          0,           0,         282,      -5.881309581,      -3.763001138,      -4.852650552,      -2.063254983
          0,           0,         283,      -5.885481418,      -3.767727999,      -4.858442334,      -2.075478308
          0,           0,         284,       -5.88887613,      -3.771879946,      -4.863105024,       -2.07404758
          0,           0,         285,      -5.891466643,      -3.775202477,      -4.867961091,      -2.085052079
          0,           0,         286,      -5.896009958,      -3.780399979,      -4.873648576,      -2.083595907
          0,           0,         287,      -5.899006319,      -3.784093532,       -4.87859349,      -2.095476768
          0,           0,         288,      -5.902456274,      -3.788313233,      -4.883669038,      -2.093078417
          0,           0,         289,       -5.90509436,      -3.791699896,       -4.88863096,      -2.104087319
          0,           0,         290,      -5.909647975,      -3.796934967,      -4.894316146,      -2.102372011
          0,           0,         291,      -5.912683549,      -3.800691952,      -4.899747483,      -2.114039903
          0,           0,         292,      -5.916130929,      -3.804930833,      -4.904683986,      -2.111488464
          0,           0,         293,      -5.919265683,      -3.808800974,      -4.910103439,      -2.122634533
          0,           0,         294,      -5.922310198,       -3.81268439,      -4.915021789,      -2.119691487
          0,           0,         295,      -5.926538839,      -3.817576619,      -4.921389409,      -2.131483826
